Make,Colour,Odometer (KM),Doors,Price
Honda,White,35431.0,4.0,15323.0
BMW,Blue,192714.0,5.0,19943.0
Honda,White,84714.0,4.0,28343.0
Toyota,White,154365.0,4.0,13434.0
Nissan,Blue,181577.0,3.0,14043.0
Honda,Red,42652.0,4.0,23883.0
Toyota,Blue,163453.0,4.0,8473.0
Honda,White,,4.0,20306.0
,White,130538.0,4.0,9374.0
Honda,Blue,51029.0,4.0,26683.0
Nissan,White,167421.0,4.0,16259.0
Nissan,Green,17119.0,4.0,6160.0
Nissan,White,102303.0,4.0,16909.0
,White,134181.0,4.0,11121.0
Honda,Blue,199833.0,4.0,18946.0
Toyota,Blue,205592.0,4.0,16290.0
Toyota,Red,96742.0,4.0,34465.0
BMW,White,194189.0,5.0,17177.0
Nissan,White,67991.0,3.0,9109.0
Nissan,Blue,215820.0,4.0,6010.0
Toyota,,124844.0,4.0,24130.0
Honda,,30615.0,4.0,29653.0
Toyota,White,148744.0,4.0,22489.0
Honda,Green,130075.0,4.0,21242.0
Honda,Blue,172718.0,4.0,14274.0
Honda,Blue,125819.0,4.0,15686.0
Honda,White,180390.0,4.0,13344.0
Honda,Green,82783.0,4.0,10984.0
Honda,White,56687.0,4.0,6135.0
Toyota,White,112004.0,4.0,13586.0
Nissan,Blue,34024.0,4.0,23929.0
Toyota,White,108569.0,,6866.0
Nissan,White,203795.0,4.0,9330.0
Nissan,Green,153554.0,3.0,9780.0
Honda,Blue,71949.0,4.0,17516.0
Honda,Blue,191622.0,4.0,8738.0
Nissan,Blue,38186.0,4.0,23438.0
Nissan,White,,4.0,15131.0
Nissan,Blue,146430.0,3.0,9224.0
Toyota,Green,109868.0,4.0,6574.0
,White,177894.0,4.0,9229.0
Toyota,Blue,189209.0,4.0,7100.0
Honda,Black,200490.0,4.0,6337.0
Toyota,Blue,141617.0,4.0,19085.0
Toyota,Blue,213893.0,4.0,5743.0
Nissan,Blue,231057.0,4.0,5925.0
Toyota,White,100938.0,4.0,25196.0
Toyota,Blue,243969.0,,16138.0
Nissan,White,107096.0,3.0,6075.0
Toyota,Black,86333.0,4.0,9928.0
Toyota,Red,184878.0,4.0,7445.0
Honda,White,161068.0,,13698.0
Toyota,Blue,77646.0,4.0,17422.0
Toyota,Blue,246817.0,4.0,8269.0
,White,109384.0,4.0,9918.0
BMW,White,79937.0,5.0,48686.0
Honda,White,82039.0,4.0,15662.0
BMW,Red,162176.0,5.0,19186.0
Toyota,,97375.0,4.0,11479.0
Toyota,Blue,230908.0,4.0,12883.0
BMW,Red,208124.0,5.0,24668.0
Honda,Black,16933.0,4.0,12172.0
Honda,Green,57198.0,4.0,25068.0
Honda,Green,47019.0,4.0,20370.0
Toyota,White,170085.0,4.0,5383.0
BMW,White,178796.0,5.0,18396.0
Toyota,Blue,223390.0,4.0,9648.0
Toyota,Black,93054.0,4.0,6652.0
Toyota,Blue,42459.0,4.0,6386.0
BMW,White,37513.0,5.0,32379.0
Nissan,White,123121.0,4.0,22436.0
Toyota,,204213.0,4.0,6860.0
Honda,White,,4.0,5648.0
,Red,227262.0,4.0,12001.0
Toyota,Blue,191232.0,4.0,18355.0
Toyota,Blue,156478.0,,20424.0
Toyota,Blue,140465.0,4.0,15154.0
,White,126669.0,4.0,18484.0
Toyota,Blue,238425.0,4.0,6502.0
Honda,Blue,186146.0,4.0,18310.0
Honda,Black,149879.0,4.0,8200.0
Toyota,Blue,34097.0,4.0,20142.0
Nissan,Blue,180021.0,3.0,13199.0
Toyota,Blue,248447.0,4.0,5708.0
Toyota,Green,61651.0,4.0,13430.0
Nissan,Blue,24219.0,3.0,10283.0
Nissan,Blue,,4.0,3300.0
Honda,,108415.0,4.0,20936.0
Nissan,Red,61892.0,,18160.0
,Blue,90249.0,4.0,35988.0
Nissan,White,197844.0,4.0,5776.0
Toyota,White,53765.0,4.0,18595.0
Honda,White,115183.0,4.0,6481.0
Honda,White,130783.0,4.0,6283.0
Honda,Green,130076.0,4.0,6762.0
Honda,Blue,143707.0,4.0,16337.0
Toyota,Blue,29856.0,4.0,11392.0
Toyota,Black,133433.0,4.0,16519.0
Toyota,Red,147455.0,4.0,22296.0
Honda,,48069.0,4.0,12196.0
Honda,Blue,146233.0,4.0,14202.0
Toyota,White,224657.0,4.0,13250.0
Honda,,150582.0,,7404.0
Honda,White,195787.0,4.0,5316.0
Honda,White,71329.0,4.0,10125.0
Honda,Blue,229206.0,4.0,13614.0
Toyota,,218803.0,4.0,13283.0
Honda,White,184869.0,4.0,11584.0
Nissan,Blue,129769.0,3.0,15617.0
Honda,Blue,219217.0,4.0,4747.0
Toyota,White,221050.0,4.0,6391.0
Nissan,White,82726.0,4.0,17802.0
Nissan,White,72122.0,4.0,22943.0
Nissan,Blue,43149.0,4.0,19502.0
Nissan,White,24077.0,4.0,15541.0
Toyota,Black,20714.0,4.0,30407.0
Toyota,Black,26979.0,4.0,35432.0
Nissan,White,223889.0,4.0,10091.0
Nissan,Blue,166938.0,4.0,11485.0
BMW,White,18394.0,5.0,
Nissan,White,212081.0,3.0,11192.0
Nissan,,206073.0,,3944.0
,Blue,174008.0,4.0,19000.0
,White,138274.0,4.0,7994.0
Nissan,Black,67364.0,,15604.0
,Blue,83784.0,4.0,11648.0
Toyota,White,71805.0,4.0,35600.0
BMW,Red,35807.0,5.0,17596.0
Nissan,White,175777.0,4.0,13427.0
Toyota,White,,4.0,35358.0
Nissan,,18994.0,4.0,7813.0
Toyota,Red,29689.0,4.0,8743.0
Toyota,White,109013.0,4.0,10628.0
Honda,Green,125802.0,4.0,4754.0
Toyota,White,22788.0,4.0,6784.0
Honda,Blue,43981.0,4.0,17584.0
Toyota,White,132055.0,4.0,10582.0
Honda,Blue,31677.0,4.0,21754.0
Toyota,Red,133195.0,4.0,14795.0
Honda,Blue,137233.0,4.0,8809.0
Nissan,Blue,179666.0,4.0,19258.0
Toyota,White,,4.0,34133.0
Honda,White,21393.0,4.0,20490.0
Nissan,Blue,41554.0,4.0,31536.0
BMW,Blue,,5.0,30412.0
Nissan,White,123923.0,4.0,14986.0
BMW,White,148949.0,3.0,23074.0
Toyota,Blue,103909.0,4.0,4566.0
Toyota,White,50604.0,4.0,10038.0
Toyota,Green,168432.0,4.0,20497.0
Nissan,White,129188.0,4.0,8071.0
Honda,Red,223416.0,4.0,10707.0
Toyota,White,66538.0,4.0,
Nissan,Green,149042.0,3.0,10835.0
Nissan,White,149347.0,3.0,5332.0
BMW,White,39267.0,5.0,19106.0
,White,150826.0,4.0,12392.0
Toyota,Black,147540.0,4.0,20155.0
Toyota,Green,218482.0,4.0,10198.0
Honda,White,202855.0,4.0,8260.0
Honda,,213793.0,4.0,12402.0
BMW,Blue,86805.0,5.0,34110.0
Honda,White,100527.0,4.0,22616.0
Honda,Blue,37678.0,4.0,6361.0
Nissan,White,215169.0,4.0,14793.0
Nissan,Blue,211249.0,4.0,15767.0
Honda,Blue,96389.0,4.0,7861.0
Honda,Blue,50417.0,4.0,25847.0
Nissan,Blue,178405.0,,8693.0
Nissan,Blue,163423.0,4.0,7193.0
Toyota,Blue,63975.0,4.0,21851.0
Toyota,White,97036.0,4.0,
Honda,Blue,54380.0,4.0,20282.0
Nissan,Black,240536.0,4.0,3247.0
Toyota,White,188755.0,4.0,17980.0
Toyota,Blue,51155.0,4.0,15960.0
Toyota,Blue,94916.0,4.0,
Toyota,Blue,38544.0,4.0,34286.0
Honda,White,,4.0,10076.0
BMW,Black,158339.0,5.0,23287.0
Toyota,Red,33400.0,4.0,12398.0
Nissan,White,118470.0,3.0,20075.0
Toyota,Blue,89501.0,4.0,12218.0
Toyota,White,87594.0,4.0,20100.0
Nissan,Green,32754.0,4.0,13146.0
Nissan,Red,191810.0,3.0,14189.0
Honda,Black,61749.0,4.0,9290.0
Toyota,Blue,237190.0,4.0,7800.0
Honda,White,166028.0,4.0,13056.0
BMW,,126441.0,5.0,39738.0
Toyota,Green,58118.0,4.0,6848.0
Honda,,76343.0,4.0,7097.0
Toyota,White,188338.0,4.0,13106.0
Toyota,Black,40285.0,4.0,7846.0
Honda,White,74192.0,4.0,8706.0
Toyota,Green,172401.0,,5454.0
Honda,Blue,78153.0,4.0,10316.0
Toyota,Green,146940.0,4.0,25133.0
Nissan,White,193874.0,4.0,10596.0
Honda,Blue,184320.0,4.0,6978.0
,White,66461.0,3.0,25873.0
Honda,Red,95243.0,4.0,13559.0
Honda,Blue,84719.0,4.0,26402.0
Toyota,Blue,99761.0,4.0,10547.0
Nissan,Red,150563.0,4.0,16115.0
Toyota,Blue,154576.0,4.0,12553.0
Honda,White,211862.0,4.0,12476.0
Nissan,Black,125251.0,4.0,18306.0
Toyota,Blue,90856.0,4.0,33077.0
Honda,White,,4.0,22746.0
Toyota,Black,24764.0,4.0,8856.0
Honda,White,43437.0,,28013.0
Honda,White,25729.0,4.0,9155.0
Honda,Green,238825.0,4.0,9530.0
BMW,,206446.0,5.0,19892.0
BMW,White,,5.0,38128.0
Honda,Blue,42324.0,4.0,12531.0
Toyota,White,183368.0,4.0,18198.0
Nissan,Blue,141962.0,4.0,5595.0
Toyota,Green,214179.0,4.0,12872.0
BMW,White,195419.0,5.0,29308.0
Nissan,Blue,158730.0,3.0,12104.0
Honda,White,28791.0,4.0,19052.0
Toyota,White,117504.0,4.0,25874.0
Honda,Blue,63825.0,4.0,23339.0
Toyota,Green,142598.0,4.0,21830.0
Toyota,White,88015.0,4.0,22794.0
BMW,Blue,79301.0,5.0,35004.0
Toyota,Red,241987.0,4.0,9734.0
BMW,Red,39323.0,5.0,18691.0
Nissan,White,209259.0,4.0,10823.0
Honda,Red,120306.0,4.0,18346.0
Toyota,Blue,148421.0,4.0,9953.0
Toyota,Blue,225286.0,4.0,12086.0
Honda,White,108206.0,4.0,13208.0
Toyota,Green,,4.0,19936.0
