Make,Colour,Odometer (KM),Doors,Price
Honda,White,35431,4,15323
BMW,Blue,192714,5,19943
Honda,White,84714,4,28343
Toyota,White,154365,4,13434
Nissan,Blue,181577,3,14043
Honda,Red,42652,4,23883
Toyota,Blue,163453,4,8473
Honda,White,43120,4,20306
Nissan,White,130538,4,9374
Honda,Blue,51029,4,26683
Nissan,White,167421,4,16259
Nissan,Green,17119,4,6160
Nissan,White,102303,4,16909
Nissan,White,134181,4,11121
Honda,Blue,199833,4,18946
Toyota,Blue,205592,4,16290
Toyota,Red,96742,4,34465
BMW,White,194189,5,17177
Nissan,White,67991,3,9109
Nissan,Blue,215820,4,6010
Toyota,Blue,124844,4,24130
Honda,Blue,30615,4,29653
Toyota,White,148744,4,22489
Honda,Green,130075,4,21242
Honda,Blue,172718,4,14274
Honda,Blue,125819,4,15686
Honda,White,180390,4,13344
Honda,Green,82783,4,10984
Honda,White,56687,4,6135
Toyota,White,112004,4,13586
Nissan,Blue,34024,4,23929
Toyota,White,108569,4,6866
Nissan,White,203795,4,9330
Nissan,Green,153554,3,9780
Honda,Blue,71949,4,17516
Honda,Blue,191622,4,8738
Nissan,Blue,38186,4,23438
Nissan,White,69888,4,15131
Nissan,Blue,146430,3,9224
Toyota,Green,109868,4,6574
Toyota,White,177894,4,9229
Toyota,Blue,189209,4,7100
Honda,Black,200490,4,6337
Toyota,Blue,141617,4,19085
Toyota,Blue,213893,4,5743
Nissan,Blue,231057,4,5925
Toyota,White,100938,4,25196
Toyota,Blue,243969,4,16138
Nissan,White,107096,3,6075
Toyota,Black,86333,4,9928
Toyota,Red,184878,4,7445
Honda,White,161068,4,13698
Toyota,Blue,77646,4,17422
Toyota,Blue,246817,4,8269
Toyota,White,109384,4,9918
BMW,White,79937,5,48686
Honda,White,82039,4,15662
BMW,Red,162176,5,19186
Toyota,Red,97375,4,11479
Toyota,Blue,230908,4,12883
BMW,Red,208124,5,24668
Honda,Black,16933,4,12172
Honda,Green,57198,4,25068
Honda,Green,47019,4,20370
Toyota,White,170085,4,5383
BMW,White,178796,5,18396
Toyota,Blue,223390,4,9648
Toyota,Black,93054,4,6652
Toyota,Blue,42459,4,6386
BMW,White,37513,5,32379
Nissan,White,123121,4,22436
Toyota,Green,204213,4,6860
Honda,White,116986,4,5648
Toyota,Red,227262,4,12001
Toyota,Blue,191232,4,18355
Toyota,Blue,156478,4,20424
Toyota,Blue,140465,4,15154
Toyota,White,126669,4,18484
Toyota,Blue,238425,4,6502
Honda,Blue,186146,4,18310
Honda,Black,149879,4,8200
Toyota,Blue,34097,4,20142
Nissan,Blue,180021,3,13199
Toyota,Blue,248447,4,5708
Toyota,Green,61651,4,13430
Nissan,Blue,24219,3,10283
Nissan,Blue,209359,4,3300
Honda,Blue,108415,4,20936
Nissan,Red,61892,4,18160
Toyota,Blue,90249,4,35988
Nissan,White,197844,4,5776
Toyota,White,53765,4,18595
Honda,White,115183,4,6481
Honda,White,130783,4,6283
Honda,Green,130076,4,6762
Honda,Blue,143707,4,16337
Toyota,Blue,29856,4,11392
Toyota,Black,133433,4,16519
Toyota,Red,147455,4,22296
Honda,Blue,48069,4,12196
Honda,Blue,146233,4,14202
Toyota,White,224657,4,13250
Honda,White,150582,4,7404
Honda,White,195787,4,5316
Honda,White,71329,4,10125
Honda,Blue,229206,4,13614
Toyota,White,218803,4,13283
Honda,White,184869,4,11584
Nissan,Blue,129769,3,15617
Honda,Blue,219217,4,4747
Toyota,White,221050,4,6391
Nissan,White,82726,4,17802
Nissan,White,72122,4,22943
Nissan,Blue,43149,4,19502
Nissan,White,24077,4,15541
Toyota,Black,20714,4,30407
Toyota,Black,26979,4,35432
Nissan,White,223889,4,10091
Nissan,Blue,166938,4,11485
BMW,White,18394,5,50822
Nissan,White,212081,3,11192
Nissan,Blue,206073,4,3944
Nissan,Blue,174008,4,19000
Toyota,White,138274,4,7994
Nissan,Black,67364,4,15604
Toyota,Blue,83784,4,11648
Toyota,White,71805,4,35600
BMW,Red,35807,5,17596
Nissan,White,175777,4,13427
Toyota,White,94818,4,35358
Nissan,Blue,18994,4,7813
Toyota,Red,29689,4,8743
Toyota,White,109013,4,10628
Honda,Green,125802,4,4754
Toyota,White,22788,4,6784
Honda,Blue,43981,4,17584
Toyota,White,132055,4,10582
Honda,Blue,31677,4,21754
Toyota,Red,133195,4,14795
Honda,Blue,137233,4,8809
Nissan,Blue,179666,4,19258
Toyota,White,80378,4,34133
Honda,White,21393,4,20490
Nissan,Blue,41554,4,31536
BMW,Blue,98886,5,30412
Nissan,White,123923,4,14986
BMW,White,148949,3,23074
Toyota,Blue,103909,4,4566
Toyota,White,50604,4,10038
Toyota,Green,168432,4,20497
Nissan,White,129188,4,8071
Honda,Red,223416,4,10707
Toyota,White,66538,4,6197
Nissan,Green,149042,3,10835
Nissan,White,149347,3,5332
BMW,White,39267,5,19106
Nissan,White,150826,4,12392
Toyota,Black,147540,4,20155
Toyota,Green,218482,4,10198
Honda,White,202855,4,8260
Honda,White,213793,4,12402
BMW,Blue,86805,5,34110
Honda,White,100527,4,22616
Honda,Blue,37678,4,6361
Nissan,White,215169,4,14793
Nissan,Blue,211249,4,15767
Honda,Blue,96389,4,7861
Honda,Blue,50417,4,25847
Nissan,Blue,178405,4,8693
Nissan,Blue,163423,4,7193
Toyota,Blue,63975,4,21851
Toyota,White,97036,4,30114
Honda,Blue,54380,4,20282
Nissan,Black,240536,4,3247
Toyota,White,188755,4,17980
Toyota,Blue,51155,4,15960
Toyota,Blue,94916,4,7561
Toyota,Blue,38544,4,34286
Honda,White,113066,4,10076
BMW,Black,158339,5,23287
Toyota,Red,33400,4,12398
Nissan,White,118470,3,20075
Toyota,Blue,89501,4,12218
Toyota,White,87594,4,20100
Nissan,Green,32754,4,13146
Nissan,Red,191810,3,14189
Honda,Black,61749,4,9290
Toyota,Blue,237190,4,7800
Honda,White,166028,4,13056
BMW,Blue,126441,5,39738
Toyota,Green,58118,4,6848
Honda,Blue,76343,4,7097
Toyota,White,188338,4,13106
Toyota,Black,40285,4,7846
Honda,White,74192,4,8706
Toyota,Green,172401,4,5454
Honda,Blue,78153,4,10316
Toyota,Green,146940,4,25133
Nissan,White,193874,4,10596
Honda,Blue,184320,4,6978
Nissan,White,66461,3,25873
Honda,Red,95243,4,13559
Honda,Blue,84719,4,26402
Toyota,Blue,99761,4,10547
Nissan,Red,150563,4,16115
Toyota,Blue,154576,4,12553
Honda,White,211862,4,12476
Nissan,Black,125251,4,18306
Toyota,Blue,90856,4,33077
Honda,White,128411,4,22746
Toyota,Black,24764,4,8856
Honda,White,43437,4,28013
Honda,White,25729,4,9155
Honda,Green,238825,4,9530
BMW,Green,206446,5,19892
BMW,White,75042,5,38128
Honda,Blue,42324,4,12531
Toyota,White,183368,4,18198
Nissan,Blue,141962,4,5595
